"","LearningPlatformUsefulnessArxiv","LearningPlatformUsefulnessBlogs","LearningPlatformUsefulnessCollege","LearningPlatformUsefulnessCompany","LearningPlatformUsefulnessConferences","LearningPlatformUsefulnessFriends","LearningPlatformUsefulnessKaggle","LearningPlatformUsefulnessNewsletters","LearningPlatformUsefulnessCommunities","LearningPlatformUsefulnessDocumentation","LearningPlatformUsefulnessCourses","LearningPlatformUsefulnessProjects","LearningPlatformUsefulnessPodcasts","LearningPlatformUsefulnessSO","LearningPlatformUsefulnessTextbook","LearningPlatformUsefulnessTradeBook","LearningPlatformUsefulnessTutoring","LearningPlatformUsefulnessYouTube","CurrentJobTitleSelect","MLMethodNextYearSelect","WorkChallengeFrequencyPolitics","WorkChallengeFrequencyUnusedResults","WorkChallengeFrequencyUnusefulInstrumenting","WorkChallengeFrequencyDeployment","WorkChallengeFrequencyDirtyData","WorkChallengeFrequencyExplaining","WorkChallengeFrequencyPass","WorkChallengeFrequencyIntegration","WorkChallengeFrequencyTalent","WorkChallengeFrequencyDataFunds","WorkChallengeFrequencyDomainExpertise","WorkChallengeFrequencyML","WorkChallengeFrequencyTools","WorkChallengeFrequencyExpectations","WorkChallengeFrequencyITCoordination","WorkChallengeFrequencyHiringFunds","WorkChallengeFrequencyPrivacy","WorkChallengeFrequencyScaling","WorkChallengeFrequencyEnvironments","WorkChallengeFrequencyClarity","WorkChallengeFrequencyDataAccess","WorkChallengeFrequencyOtherSelect","WorkInternalVsExternalTools"
"11",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,NA,NA,"Somewhat useful","Data Scientist","Deep learning",NA,NA,NA,NA,NA,"Often",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Entirely internal"
"13",NA,NA,"Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful","Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",NA,"Very useful",NA,NA,"Very useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Software Developer/Software Engineer","Deep learning","Often",NA,NA,NA,NA,"Often",NA,NA,"Often","Often",NA,"Often",NA,NA,NA,"Often",NA,NA,"Often",NA,NA,NA,"Do not know"
"16",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Somewhat useful","Somewhat useful","Very useful",NA,"Very useful",NA,NA,"DBA/Database Engineer","Rule Induction","Rarely","Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often","Sometimes",NA,"Do not know"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Regression",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,"Scientist/Researcher","Proprietary Algorithms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Somewhat useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful",NA,"Researcher","Deep learning",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time","More internal than external"
"23","Somewhat useful","Not Useful",NA,NA,"Not Useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Scientist/Researcher","Deep learning",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"24",NA,"Somewhat useful","Not Useful",NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Other","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Sometimes",NA,"Most of the time",NA,"More external than internal"
"25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,"Somewhat useful",NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"26","Very useful",NA,"Very useful","Somewhat useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Analyst","Genetic & Evolutionary Algorithms",NA,NA,NA,"Sometimes","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Often","Sometimes",NA,"Approximately half internal and half external"
"27",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful","Engineer","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,"Often",NA,NA,NA,"Often",NA,"Often",NA,NA,NA,NA,NA,"Sometimes",NA,NA,"Sometimes",NA,NA,"More external than internal"
"28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,"Data Scientist","Ensemble Methods (e.g. boosting, bagging)","Most of the time",NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,"Most of the time","Most of the time",NA,NA,"More internal than external"
"29","Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful","Somewhat useful","Very useful",NA,NA,"Somewhat useful","Data Scientist","Factor Analysis",NA,NA,NA,"Often","Sometimes",NA,NA,NA,"Most of the time",NA,NA,NA,"Most of the time",NA,"Often",NA,NA,"Most of the time","Often",NA,"Most of the time",NA,"Entirely internal"
"30","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful",NA,"Genetic & Evolutionary Algorithms",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Business Analyst","Proprietary Algorithms","Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,"Often",NA,NA,NA,NA,NA,NA,"Entirely internal"
"32",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,"Very useful","Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Rarely",NA,"More internal than external"
"33","Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Proprietary Algorithms","Often",NA,NA,"Often",NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Sometimes",NA,"Entirely internal"
"34","Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Machine Learning Engineer","Deep learning",NA,NA,"Often",NA,"Sometimes",NA,NA,NA,"Sometimes",NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
"35",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Engineer","Deep learning",NA,NA,NA,NA,"Sometimes","Sometimes",NA,NA,NA,NA,"Often",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Sometimes",NA,"Entirely internal"
"36",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Very useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful",NA,"Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Very useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Somewhat useful","Machine Learning Engineer","Deep learning",NA,NA,NA,"Sometimes","Often",NA,NA,NA,NA,NA,NA,"Often","Often","Sometimes","Sometimes",NA,NA,NA,NA,NA,"Sometimes",NA,"More internal than external"
"39",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,"Very useful","Other","I don't plan on learning a new ML/DS method",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Somewhat useful","Somewhat useful",NA,"Very useful",NA,NA,NA,NA,NA,"Very useful","Somewhat useful","Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Operations Research Practitioner",NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Entirely external"
"42","Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Data Scientist","Monte Carlo Methods","Rarely","Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Sometimes","Often",NA,NA,NA,"Often","Most of the time","Sometimes",NA,"More internal than external"
"43",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,"Somewhat useful","Somewhat useful",NA,NA,NA,"Data Scientist","Monte Carlo Methods",NA,NA,NA,NA,NA,NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Often","Often",NA,NA,"More internal than external"
"44",NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Very useful",NA,"Very useful",NA,NA,"Very useful","Very useful",NA,NA,NA,"Data Scientist","Deep learning","Most of the time","Most of the time",NA,NA,"Most of the time","Most of the time",NA,"Most of the time",NA,NA,NA,NA,NA,"Most of the time","Most of the time",NA,NA,"Most of the time",NA,NA,NA,NA,"Entirely internal"
"46",NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Data Scientist","Neural Nets",NA,NA,NA,NA,"Most of the time",NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,"Most of the time","Most of the time",NA,"More external than internal"
"47",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,"Software Developer/Software Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","Very useful","Somewhat useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful","Very useful",NA,NA,NA,"Scientist/Researcher","Deep learning","Rarely",NA,NA,NA,"Often",NA,NA,NA,"Rarely","Most of the time",NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,"Most of the time",NA,"More internal than external"
"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52","Not Useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Business Analyst",NA,"Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"53",NA,NA,"Very useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful","Somewhat useful","Scientist/Researcher","Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"54","Very useful","Very useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Very useful",NA,NA,NA,"Very useful",NA,"Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",NA,"Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,"Very useful","Very useful","Very useful",NA,"Very useful","Somewhat useful",NA,NA,NA,"Other","Time Series Analysis",NA,NA,NA,NA,NA,"Often",NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Entirely internal"
"57",NA,NA,"Very useful",NA,"Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Somewhat useful",NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Very useful","Very useful","Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful",NA,"Somewhat useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,NA,"Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,"Very useful","Very useful",NA,NA,NA,"Researcher","Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Entirely internal"
"61",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Other",NA,NA,NA,NA,NA,"Most of the time","Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","Somewhat useful",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Somewhat useful",NA,NA,NA,"Scientist/Researcher","Deep learning",NA,"Sometimes","Sometimes",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,"More external than internal"
"63",NA,"Somewhat useful",NA,NA,NA,"Very useful","Somewhat useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,"Somewhat useful","Data Analyst","Neural Nets","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"64",NA,"Somewhat useful",NA,NA,NA,NA,"Very useful",NA,NA,NA,NA,"Very useful",NA,NA,"Very useful",NA,NA,NA,"Engineer","Deep learning",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",NA,NA,NA,"Somewhat useful",NA,NA,"Somewhat useful",NA,NA,"Very useful","Somewhat useful",NA,NA,NA,NA,NA,"Very useful",NA,"Other","Neural Nets",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",NA,"Very useful","Very useful",NA,"Very useful",NA,"Very useful",NA,NA,NA,NA,"Somewhat useful",NA,"Somewhat useful","Very useful",NA,NA,"Very useful","Data Scientist","Bayesian Methods","Often","Often",NA,NA,"Most of the time",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Entirely internal"
"67",NA,NA,NA,NA,NA,NA,NA,"Very useful","Very useful",NA,"Very useful",NA,NA,NA,NA,NA,NA,NA,"Statistician","Survival Analysis",NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Do not know"
"68","Very useful","Very useful","Very useful",NA,NA,NA,"Somewhat useful","Somewhat useful",NA,NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Data Scientist","MARS",NA,"Often",NA,NA,NA,NA,NA,NA,NA,"Sometimes","Rarely",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Data Scientist","Time Series Analysis","Sometimes",NA,NA,NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,"Often",NA,NA,NA,NA,NA,NA,NA,"More external than internal"
"70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scientist/Researcher","Text Mining","Sometimes","Sometimes",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,"Sometimes",NA,"Approximately half internal and half external"
"71","Very useful","Somewhat useful",NA,NA,NA,NA,"Somewhat useful",NA,NA,NA,"Somewhat useful","Very useful",NA,NA,"Somewhat useful",NA,NA,NA,NA,"Bayesian Methods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","Somewhat useful","Very useful","Somewhat useful","Very useful",NA,"Very useful","Very useful",NA,"Somewhat useful","Very useful","Very useful","Very useful",NA,"Very useful","Somewhat useful",NA,NA,"Somewhat useful","Data Scientist","Deep learning",NA,NA,NA,NA,"Often","Rarely",NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,"Often","Most of the time",NA,"More internal than external"
"74",NA,"Somewhat useful","Very useful",NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,"Somewhat useful","Very useful",NA,NA,NA,NA,"Social Network Analysis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75",NA,NA,NA,NA,NA,NA,"Very useful",NA,NA,NA,"Very useful","Very useful",NA,NA,NA,NA,NA,NA,"Engineer","Ensemble Methods (e.g. boosting, bagging)",NA,"Often",NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,"Most of the time",NA,NA,NA,NA,NA,NA,NA,NA,"More internal than external"
